sent_at;sent_at_local;tz_offset;language;machine;amount
2020-06-14 13:50:48Z;2020-06-14 15:50:48;120;JSON;latitude-E6440;4
2020-06-14 13:51:33Z;2020-06-14 15:51:33;120;JSON;latitude-E6440;12
2020-06-14 13:52:18Z;2020-06-14 15:52:18;120;JavaScript;latitude-E6440;17
2020-06-14 17:51:19Z;2020-06-14 19:51:19;120;JavaScript;latitude-E6440;6
2020-06-14 17:46:09Z;2020-06-14 19:46:09;120;JavaScript;latitude-E6440;4
2020-06-14 17:53:00Z;2020-06-14 19:53:00;120;JavaScript;latitude-E6440;3
2020-06-14 17:54:53Z;2020-06-14 19:54:53;120;JavaScript;latitude-E6440;12
2020-06-14 17:58:40Z;2020-06-14 19:58:40;120;JavaScript;latitude-E6440;18
2020-06-14 18:01:24Z;2020-06-14 20:01:24;120;JavaScript;latitude-E6440;22
2020-06-14 18:03:12Z;2020-06-14 20:03:12;120;JavaScript;latitude-E6440;7
2020-06-14 17:47:19Z;2020-06-14 19:47:19;120;JavaScript;latitude-E6440;5
2020-06-14 17:54:13Z;2020-06-14 19:54:13;120;JavaScript;latitude-E6440;11
2020-06-14 17:53:53Z;2020-06-14 19:53:53;120;JavaScript;latitude-E6440;19
2020-06-14 17:47:36Z;2020-06-14 19:47:36;120;JavaScript;latitude-E6440;6
2020-06-14 17:47:06Z;2020-06-14 19:47:06;120;JavaScript;latitude-E6440;2
2020-06-14 18:02:16Z;2020-06-14 20:02:16;120;JavaScript;latitude-E6440;12
2020-06-14 17:52:46Z;2020-06-14 19:52:46;120;JavaScript;latitude-E6440;20
2020-06-14 17:55:54Z;2020-06-14 19:55:54;120;JavaScript;latitude-E6440;5
2020-06-14 18:03:39Z;2020-06-14 20:03:39;120;JavaScript;latitude-E6440;5
2020-06-14 17:48:22Z;2020-06-14 19:48:22;120;JavaScript;latitude-E6440;6
2020-06-14 18:00:38Z;2020-06-14 20:00:38;120;JavaScript;latitude-E6440;15
2020-06-14 17:47:59Z;2020-06-14 19:47:59;120;JavaScript;latitude-E6440;3
